id,name,shortName,mode,networkId,impactedObjects
line:IDFM:C01497,4534,4534,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C02418,4535,4535,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C02663,4536,4536,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00678,4537,4537,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00681,4538,4538,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00671,4539,4539,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00662,4540,4540,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00663,4541,4541,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00679,4542,4542,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00677,4543,4543,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00682,4550,4550,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00962,4551,4551,Bus,network:IDFM:1076,"[{'type': 'line', 'id': 'line:IDFM:C00962', 'name': '4551', 'disruptionIds': ['522decb6-d41c-11ef-b937-0a58a9feac02']}, {'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:2938', 'name': 'Rue des Acacias', 'disruptionIds': ['522decb6-d41c-11ef-b937-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:415437', 'name': 'Saut du Loup', 'disruptionIds': ['522decb6-d41c-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00963,4552,4552,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
line:IDFM:C00083,4553,4553,Bus,network:IDFM:1076,"[{'type': 'network', 'id': 'network:IDFM:1076', 'name': 'Cœur d’Essonne', 'disruptionIds': ['ccd78092-a101-11ef-b233-0a58a9feac02']}]"
